ProductID,SourceImageFileName,SortOrder,StatusID
P000000001,00111,1,1
P000000001,00112,2,1
P000000001,00113,3,1
P000000002,00121,1,1
P000000002,00122,2,1
P000000002,00123,3,1
P000000003,00131,1,1
P000000003,00132,2,1
P000000004,00141,1,1
P000000004,00142,2,1
P000000004,00143,3,1
P000000004,00144,4,1
P000000004,00145,5,1
P000000005,00151,1,1
P000000005,00152,2,1
P000000006,00161,1,1
P000000006,00162,2,1
P000000006,00163,3,1
P000000006,00164,4,1
P000000006,00165,5,1
P000000006,00166,6,1
P000000007,00171,1,1
P000000007,00172,2,1
P000000008,00211,1,1
P000000008,00212,2,1
P000000008,00213,3,1
P000000009,00221,1,1
P000000009,00222,2,1
P000000009,00223,3,1
P000000010,00231,1,1
P000000010,00232,2,1
P000000010,00233,3,1
P000000010,00234,4,1
P000000011,00241,1,1
P000000011,00242,2,1
P000000011,00243,3,1
P000000012,00251,1,1
P000000012,00252,2,1
P000000012,00253,3,1
P000000013,00311,1,1
P000000013,00312,2,1
P000000013,00313,3,1
P000000013,00314,4,1
P000000013,00315,5,1
P000000013,00316,6,1
P000000014,00321,1,1
P000000014,00322,2,1
P000000014,00323,3,1
P000000014,00324,4,1
P000000014,00325,5,1
P000000015,00331,1,1
P000000015,00332,2,1
P000000016,00341,1,1
P000000016,00344,4,1
P000000017,00351,1,1
P000000017,00352,2,1
P000000017,00353,3,1
P000000017,00354,4,1
P000000017,00355,5,1
P000000018,00361,1,1
P000000018,00362,2,1
P000000018,00363,3,1
P000000019,00411,1,1
P000000019,00412,2,1
P000000019,00413,3,1
P000000020,00421,1,1
P000000020,00422,2,1
P000000020,00423,3,1
P000000021,00431,1,1
P000000021,00432,2,1
P000000021,00433,3,1
P000000022,00441,1,1
P000000022,00442,2,1
P000000022,00443,3,1
P000000022,00444,4,1
P000000022,00445,5,1
P000000023,00451,1,1
P000000023,00452,2,1
P000000024,00461,1,1
P000000024,00462,2,1
P000000025,00471,1,1
P000000025,00472,2,1
P000000026,00481,1,1
P000000026,00482,2,1
P000000027,00511,1,1
P000000027,00512,2,1
P000000027,00513,3,1
P000000027,00514,4,1
P000000027,00515,5,1
P000000027,00516,6,1
P000000027,00517,7,1
P000000028,00521,1,1
P000000028,00522,2,1
P000000028,00523,3,1
P000000029,00531,1,1
P000000029,00532,2,1
P000000030,00541,1,1
P000000030,00542,2,1
P000000030,00543,3,1
P000000031,00551,1,1
P000000031,00552,2,1
P000000031,00553,3,1
P000000031,00554,4,1
P000000032,00611,1,1
P000000032,00612,2,1
P000000032,00613,3,1
P000000033,00621,1,1
P000000033,00622,2,1
P000000034,00631,1,1
P000000034,00632,2,1
P000000035,00641,1,1
P000000036,00651,1,1
P000000036,00652,2,1
P000000036,00653,3,1
P000000037,00661,1,1
P000000037,00662,2,1
P000000037,00663,3,1
P000000038,00711,1,1
P000000039,00721,1,1
P000000039,00722,2,1
P000000040,00731,1,1
P000000040,00732,2,1
P000000041,00741,1,1
P000000042,00751,1,1
P000000042,00752,2,1
P000000042,00753,3,1
P000000043,00761,1,1
P000000043,00762,2,1
P000000044,00811,1,1
P000000044,00812,2,1
P000000044,00813,3,1
P000000045,00821,1,1
P000000045,00822,2,1
P000000045,00823,3,1
P000000046,00831,1,1
P000000046,00832,2,1
P000000047,00841,1,1
P000000047,00842,2,1
P000000048,00851,1,1
P000000048,00852,2,1
P000000048,00853,3,1
P000000048,00854,4,1
P000000048,00855,5,1
P000000049,00861,1,1
P000000049,00862,2,1
P000000050,00911,1,1
P000000050,00912,2,1
P000000051,00921,1,1
P000000051,00922,2,1
P000000051,00923,3,1
P000000052,00931,1,1
P000000052,00932,2,1
P000000053,00941,1,1
P000000053,00942,2,1
P000000053,00943,3,1
P000000054,00951,1,1
P000000054,00952,2,1
P000000055,00961,1,1
P000000056,00971,1,1
P000000056,00972,2,1
P000000057,00981,1,1
P000000057,00982,2,1
P000000058,01011,1,1
P000000058,01012,2,1
P000000059,01021,1,1
P000000059,01022,2,1
P000000060,01031,1,1
P000000060,01032,2,1
P000000061,01041,1,1
P000000061,01042,2,1
P000000062,01051,1,1
P000000062,01052,2,1
P000000063,01111,1,1
P000000063,01112,2,1
P000000063,01113,3,1
P000000064,01121,1,1
P000000064,01122,2,1
P000000065,01131,1,1
P000000065,01132,2,1
P000000066,01141,1,1
P000000066,01142,2,1
P000000066,01143,3,1
P000000067,01151,1,1
P000000067,01152,2,1
P000000068,01161,1,1
P000000068,01162,2,1
P000000069,01171,1,1
P000000070,01211,1,1
P000000070,01212,2,1
P000000070,01213,3,1
P000000071,01221,1,1
P000000071,01222,2,1
P000000071,01223,3,1
P000000072,01231,1,1
P000000072,01232,2,1
P000000072,01233,3,1
P000000073,01241,1,1
P000000073,01242,2,1
P000000073,01243,3,1
P000000074,01251,1,1
P000000074,01252,2,1
P000000074,01253,3,1
P000000075,01311,1,1
