CsvPostID,MemberID,ReactionType
P000001,M0000013
P000001,M0000102
P000001,M0000069
P000001,M0000014
P000001,M0000068
P000001,M0000015
P000001,M0000025
P000001,M0000171
P000001,M0000039
P000001,M0000113
P000001,M0000092
P000001,M0000081
P000001,M0000014
P000001,M0000026
P000001,M0000059
P000001,M0000053
P000001,M0000018
P000002,M0000157
P000002,M0000023
P000002,M0000114
P000002,M0000106
P000002,M0000058
P000002,M0000110
P000002,M0000119
P000002,M0000169
P000002,M0000102
P000002,M0000141
P000002,M0000036
P000002,M0000130
P000002,M0000002
P000003,M0000126
P000003,M0000129
P000003,M0000149
P000003,M0000083
P000003,M0000062
P000003,M0000027
P000003,M0000067
P000003,M0000187
P000003,M0000161
P000003,M0000021
P000003,M0000198
P000003,M0000037
P000003,M0000100
P000003,M0000080
P000003,M0000160
P000003,M0000096
P000003,M0000200
P000004,M0000090
P000004,M0000152
P000004,M0000016
P000004,M0000034
P000004,M0000074
P000004,M0000019
P000004,M0000157
P000004,M0000190
P000005,M0000019
P000005,M0000173
P000005,M0000170
P000005,M0000010
P000005,M0000184
P000005,M0000154
P000005,M0000033
P000005,M0000123
P000005,M0000090
P000005,M0000179
P000005,M0000180
P000005,M0000037
P000005,M0000083
P000005,M0000189
P000005,M0000032
P000005,M0000002
P000005,M0000173
P000006,M0000134
P000006,M0000072
P000006,M0000057
P000006,M0000174
P000006,M0000042
P000006,M0000007
P000006,M0000176
P000006,M0000147
P000006,M0000019
P000006,M0000127
P000006,M0000130
P000006,M0000007
P000007,M0000148
P000007,M0000180
P000007,M0000127
P000007,M0000145
P000007,M0000097
P000007,M0000029
P000007,M0000121
P000007,M0000099
P000007,M0000144
P000007,M0000023
P000007,M0000056
P000007,M0000191
P000007,M0000187
P000007,M0000135
P000007,M0000054
P000007,M0000038
P000007,M0000051
P000007,M0000096
P000007,M0000001
P000007,M0000183
P000008,M0000044
P000008,M0000094
P000008,M0000031
P000008,M0000170
P000008,M0000177
P000008,M0000038
P000008,M0000012
P000008,M0000061
P000008,M0000195
P000008,M0000137
P000008,M0000172
P000008,M0000169
P000008,M0000034
P000008,M0000020
P000008,M0000192
P000008,M0000191
P000008,M0000094
P000009,M0000115
P000009,M0000192
P000009,M0000105
P000009,M0000082
P000009,M0000141
P000009,M0000156
P000009,M0000040
P000010,M0000181
P000010,M0000155
P000010,M0000197
P000010,M0000068
P000010,M0000010
P000010,M0000122
P000010,M0000142
P000010,M0000142
P000010,M0000099
P000010,M0000051
P000010,M0000186
P000010,M0000178
P000010,M0000111
P000010,M0000077
P000010,M0000122
P000010,M0000088
P000010,M0000082
P000010,M0000109
P000010,M0000144
P000011,M0000143
P000011,M0000028
P000011,M0000074
P000011,M0000129
P000011,M0000050
P000011,M0000004
P000011,M0000076
P000011,M0000164
P000011,M0000179
P000011,M0000068
P000011,M0000069
P000011,M0000151
P000011,M0000070
P000011,M0000051
P000012,M0000115
P000012,M0000134
P000012,M0000076
P000012,M0000082
P000012,M0000001
P000012,M0000078
P000013,M0000087
P000013,M0000049
P000013,M0000031
P000013,M0000074
P000013,M0000152
P000013,M0000012
P000013,M0000130
P000013,M0000050
P000013,M0000094
P000013,M0000180
P000013,M0000126
P000013,M0000106
P000013,M0000092
P000013,M0000023
P000014,M0000170
P000014,M0000076
P000014,M0000198
P000014,M0000153
P000014,M0000075
P000014,M0000147
P000014,M0000099
P000014,M0000095
P000014,M0000033
P000014,M0000069
P000015,M0000081
P000015,M0000010
P000015,M0000125
P000015,M0000128
P000015,M0000112
P000015,M0000028
P000015,M0000152
P000015,M0000102
P000015,M0000108
P000015,M0000183
P000015,M0000111
P000015,M0000083
P000015,M0000126
P000015,M0000137
P000016,M0000181
P000016,M0000162
P000016,M0000152
P000016,M0000185
P000016,M0000131
P000016,M0000100
P000016,M0000025
P000016,M0000019
P000016,M0000080
P000016,M0000084
P000016,M0000028
P000016,M0000137
P000016,M0000178
P000017,M0000099
P000017,M0000168
P000017,M0000191
P000017,M0000086
P000017,M0000056
P000017,M0000055
P000017,M0000107
P000017,M0000132
P000017,M0000025
P000017,M0000132
P000018,M0000171
P000018,M0000066
P000018,M0000175
P000018,M0000143
P000018,M0000015
P000018,M0000181
P000018,M0000032
P000018,M0000152
P000018,M0000173
P000018,M0000020
P000018,M0000094
P000019,M0000081
P000019,M0000148
P000019,M0000031
P000019,M0000120
P000019,M0000031
P000019,M0000058
P000019,M0000086
P000019,M0000009
P000019,M0000103
P000019,M0000117
P000020,M0000185
P000020,M0000177
P000020,M0000140
P000020,M0000069
P000020,M0000125
P000020,M0000082
P000020,M0000146
P000020,M0000074
P000020,M0000163
P000020,M0000073
P000020,M0000039
P000021,M0000046
P000021,M0000149
P000021,M0000099
P000021,M0000165
P000021,M0000023
P000021,M0000147
P000021,M0000007
P000021,M0000055
P000021,M0000190
P000021,M0000182
P000021,M0000019
P000022,M0000042
P000022,M0000199
P000022,M0000024
P000022,M0000030
P000022,M0000005
P000022,M0000049
P000022,M0000110
P000022,M0000097
P000023,M0000038
P000023,M0000159
P000023,M0000189
P000023,M0000137
P000023,M0000178
P000023,M0000153
P000023,M0000157
P000023,M0000022
P000024,M0000088
P000024,M0000128
P000024,M0000073
P000024,M0000017
P000024,M0000134
P000024,M0000085
P000024,M0000014
P000024,M0000197
P000024,M0000002
P000024,M0000003
P000024,M0000173
P000024,M0000074
P000024,M0000145
P000024,M0000151
P000024,M0000115
P000024,M0000134
P000024,M0000159
P000025,M0000006
P000025,M0000047
P000025,M0000189
P000025,M0000096
P000025,M0000181
P000025,M0000075
P000025,M0000027
P000025,M0000155
P000025,M0000177
P000025,M0000089
P000025,M0000071
P000025,M0000144
P000025,M0000117
P000025,M0000124
P000025,M0000194
P000025,M0000078
P000025,M0000133
P000026,M0000151
P000026,M0000085
P000026,M0000067
P000026,M0000086
P000026,M0000001
P000026,M0000092
P000027,M0000156
P000027,M0000028
P000027,M0000053
P000027,M0000039
P000027,M0000027
P000027,M0000197
P000027,M0000194
P000027,M0000011
P000028,M0000063
P000028,M0000145
P000028,M0000062
P000028,M0000100
P000028,M0000194
P000028,M0000194
P000028,M0000134
P000028,M0000199
P000028,M0000122
P000028,M0000169
P000028,M0000145
P000028,M0000196
P000028,M0000067
P000028,M0000045
P000028,M0000010
P000028,M0000026
P000028,M0000036
P000028,M0000010
P000028,M0000139
P000028,M0000186
